Codigo,Acao,Tipo,Qtde. Teorica,Part. (%)
ALOS3,ALLOS,ON ED NM,478975645,0.540
ABEV3,AMBEV S/A,ON EJ,4043349180,2.375
ASAI3,ASSAI,ON NM,1335651252,0.528
AURE3,AUREN,ON NM,317886569,0.153
AXIA3,AXIA ENERGIA,ON NM,2278697967,4.843
AZZA3,AZZAS 2154,ON NM,130746665,0.075
B3SA3,B3,ON EJ NM,4985893391,3.453
BBSE3,BBSEGURIDADE,ON NM,616248544,0.919
BBDC3,BRADESCO,ON N1,1464434502,0.897
BBDC4,BRADESCO,PN N1,5100907585,3.531
BRAP4,BRADESPAR,PN N1,250886751,0.198
BBAS3,BRASIL,ON NM,2842760965,2.420
BRAV3,BRAVA,ON NM,277531689,0.188
BPAC11,BTGP BANCO,UNT N2,1194770950,2.920
CXSE3,CAIXA SEGURI,ON NM,600000000,0.463
CEAB3,CEA MODAS,ON NM,204244409,0.073
CMIG4,CEMIG,PN EJ N1,1823593065,0.772
COGN3,COGNA ON,ON NM,1918999490,0.169
CSMG3,COPASA,ON EJ NM,379172627,0.823
CPLE3,COPEL,ON NM,2969578102,1.801
CSAN3,COSAN,ON NM,2278224258,0.340
CPFE3,CPFL ENERGIA,ON NM,187732538,0.325
CMIN3,CSNMINERACAO,ON N2,1572292846,0.308
CURY3,CURY S/A,ON NM,160988231,0.169
CYRE3,CYRELA REALT,ON NM,256078095,0.262
DIRR3,DIRECIONAL,ON NM,326739860,0.124
EMBJ3,EMBRAER,ON EJ NM,711833141,2.683
ENGI11,ENERGISA,UNT N2,358085210,0.717
ENEV3,ENEVA,ON NM,1916508073,2.044
EGIE3,ENGIE BRASIL,ON NM,443076690,0.499
EQTL3,EQUATORIAL,ON NM,1245905097,1.913
FLRY3,FLEURY,ON NM,445241785,0.376
GGBR4,GERDAU,PN N1,1244099630,1.206
GOAU4,GERDAU MET,PN N1,827170367,0.360
HAPV3,HAPVIDA,ON NM,276640336,0.071
HYPE3,HYPERA,ON NM,296007718,0.277
IGTI11,IGUATEMI S.A,UNT N1,220429690,0.227
ISAE4,ISA ENERGIA,PN N1,460013216,0.478
ITSA4,ITAUSA,PN N1,5980171123,3.237
ITUB4,ITAUUNIBANCO,PN N1,5337898685,8.684
KLBN11,KLABIN S/A,UNT N2,786869850,0.564
RENT3,LOCALIZA,ON NM,976910862,1.431
LREN3,LOJAS RENNER,ON EJ NM,975958589,0.419
MGLU3,MAGAZ LUIZA,ON NM,389237948,0.091
POMO4,MARCOPOLO,PN N2,728945103,0.116
MBRF3,MARFRIG,ON NM,735470942,0.479
BEEF3,MINERVA,ON NM,444534706,0.069
MOTV3,MOTIVA SA,ON NM,1002045228,0.634
MRVE3,MRV,ON NM,374720028,0.075
MULT3,MULTIPLAN,ON N2,322143505,0.389
NATU3,NATURA,ON NM,837026185,0.246
PETR3,PETROBRAS,ON N2,2441951100,5.118
PETR4,PETROBRAS,PN N2,4410957710,8.400
PSSA3,PORTO SEGURO,ON EJ NM,178825403,0.327
PRIO3,PRIO,ON NM,753702456,1.761
RADL3,RAIADROGASIL,ON NM,1312816783,0.983
RDOR3,REDE D OR,ON NM,1030028001,1.507
RAIL3,RUMO S.A.,ON NM,1406822230,0.858
SBSP3,SABESP,ON NM,3524534025,3.625
SANB11,SANTANDER BR,UNT,356245448,0.403
CSNA3,SID NACIONAL,ON,727462410,0.169
SMFT3,SMART FIT,ON NM,555416717,0.363
SUZB3,SUZANO S.A.,ON NM,608216821,1.109
TAEE11,TAESA,UNT N2,218568234,0.346
VIVT3,TELEF BRASIL,ON,707098992,0.818
TEND3,TENDA,ON NM,118671153,0.124
TIMS3,TIM,ON EJ NM,776308601,0.556
TOTS3,TOTVS,ON EJ NM,515889217,0.702
UGPA3,ULTRAPAR,ON NM,1067930953,1.629
USIM5,USIMINAS,PNA N1,518248757,0.140
VALE3,VALE,ON NM,3687404862,10.120
VAMO3,VAMOS,ON NM,527021942,0.077
VBBR3,VIBRA,ON EJ NM,1194079963,1.832
VIVA3,VIVARA S.A.,ON NM,123861677,0.106
WEGE3,WEG,ON EJ NM,1460506056,2.869
YDUQ3,YDUQS PART,ON NM,247852006,0.104
